FileNum, PSNR, SSIM 
0000, 17.878690108360416, 0.8344350829526644 
0001, 21.59557509230443, 0.8834960578642638 
0002, 16.603002669516158, 0.8496955456627896 
0003, 17.8360519446062, 0.8295570465038672 
0004, 20.12181321163439, 0.8662398475920586 
0005, 18.194518631953066, 0.7995303223222621 
0006, 16.4984265990322, 0.8111565177402132 
0007, 23.5050263847656, 0.9104666858463436 
0008, 17.591566359417364, 0.8329997841013372 
0009, 19.060716641318642, 0.8591908938207368 
0010, 22.07910354874718, 0.8866084474045043 
0011, 20.45300893759306, 0.8818924820674777 
0012, 17.7015236682268, 0.827172664432042 
0013, 18.36570103806065, 0.8622103997327316 
0014, 17.16619773634979, 0.8539049204557205 
0015, 17.877167378524312, 0.8632237883910596 
0016, 16.587053462301654, 0.8440441782548982 
0017, 15.320107362016063, 0.8616075409498363 
0018, 20.5756155719601, 0.8537165773449815 
0019, 20.97909295938503, 0.8629683795182183 
0020, 19.41865417486377, 0.8481778623912307 
0021, 18.259771986406335, 0.8296476402999171 
0022, 18.413732522190568, 0.7936429877373051 
0023, 16.910153849699658, 0.8092644329857617 
0024, 18.351321904378512, 0.7712454596706491 
0025, 18.984036749005526, 0.8575046679068742 
0026, 19.35653765817254, 0.8556785815126192 
0027, 17.546109688990967, 0.7913513872804686 
0028, 16.17749866780861, 0.6052780012565765 
0029, 16.012460819080914, 0.6844535248053036 
0030, 13.750973205939193, 0.7106786707941093 
0031, 16.04466859100882, 0.6848418094639402 
0032, 20.048777771718733, 0.8523234500989907 
0033, 19.02783938537403, 0.8649608685798108 
0034, 17.09322403823218, 0.7820037125597074 
0035, 14.47869931762817, 0.7442396528643158 
0036, 21.762992800608792, 0.8898877188265933 
0037, 16.466147564301014, 0.8136462044477596 
0038, 14.623051628038471, 0.6602806485733153 
0039, 14.80035880639228, 0.7213100226971539 
0040, 20.320434441898513, 0.8616718464102394 
0041, 26.358080448869018, 0.9491769536807673 
0042, 19.482500399525172, 0.8350461731520721 
0043, 22.06002405768228, 0.9331732136101277 
0044, 16.749215211897504, 0.837310283083824 
0045, 23.278995360238515, 0.9224327380347696 
0046, 21.348594889165504, 0.8702889773596643 
0047, 23.081375680273748, 0.9117938968704821 
0048, 23.515621281364293, 0.9123548577511754 
0049, 18.698074693507994, 0.8224078328989366 
0050, 16.73189700116596, 0.7564473913632447 
0051, 21.09832367543682, 0.8279755357217136 
0052, 16.69140366967455, 0.7707198429948247 
0053, 20.04425196500288, 0.8094003661278445 
0054, 19.99675525703465, 0.8297574168260832 
0055, 14.201616262629287, 0.811006890707748 
0056, 17.734212318931057, 0.7198954603139706 
0057, 12.058203524822906, 0.6417775221346496 
0058, 12.08576075941421, 0.6267795361213603 
0059, 13.397153738679794, 0.643118862274217 
0060, 15.527016960361122, 0.5893351163186701 
0061, 12.912243193741448, 0.5504671090189807 
0062, 9.81444224717647, 0.5009213820539036 
0063, 17.419447875935855, 0.8438628123991734 
0064, 15.897813886315621, 0.8427052377802537 
0065, 14.663831477750362, 0.80917193730313 
0066, 17.170185747458817, 0.786434276492895 
0067, 19.07840549750797, 0.8298597054501936 
0068, 16.14285136726557, 0.7968472576847111 
0069, 18.2345327379848, 0.8201552587837746 
0070, 17.349391868459858, 0.7958218190816114 
0071, 17.205848076262342, 0.7717018867584281 
0072, 16.777848031060923, 0.8555445521844943 
0073, 15.029596915280695, 0.7219777273613847 
0074, 10.77338739039962, 0.39891218381361754 
0075, 13.013047773917368, 0.7278192049305302 
0076, 9.638924043091494, 0.5395046575682918 
0077, 12.422558527564433, 0.7058606743163551 
0078, 18.177576512149447, 0.7407392664322389 
0079, 15.053639988594757, 0.7013672914135126 
0080, 19.863446926263546, 0.8264520799165475 
0081, 12.307745158194054, 0.6999315575349723 
0082, 17.585237819957158, 0.7290467941489075 
0083, 13.752595176493976, 0.7355692239445952 
0084, 10.703768708842684, 0.6564870478084485 
0085, 17.229526888215595, 0.8519945743997309 
0086, 16.59700591109618, 0.8292597670547933 
0087, 13.734024776832692, 0.8030887108499899 
0088, 18.070856107987197, 0.8490393922738212 
0089, 18.881891259846725, 0.8551241752400124 
0090, 18.064971520044192, 0.8182290775934676 
0091, 14.808574088905296, 0.7794182396402111 
0092, 17.18524073033006, 0.8558821449847671 
0093, 16.145719160001814, 0.7691683587965586 
0094, 17.74851051240168, 0.8131056615211949 
0095, 17.538179285846198, 0.8577950731497991 
0096, 21.479333300123685, 0.8848803890985115 
0097, 20.119896194147536, 0.883851272480563 
0098, 20.321801600836235, 0.8788243383953248 
0099, 22.078516914294024, 0.9234347954249866 
0100, 22.914463283082238, 0.9133753998763191 
0101, 14.573588566789052, 0.8014742065568475 
0102, 17.002498269097046, 0.8457573882776148 
0103, 16.129093525358783, 0.8531787597545915 
0104, 15.509430026389142, 0.8252259380389136 
0105, 18.013465856661462, 0.8727012343168713 
0106, 16.246083372389624, 0.8213993040968742 
0107, 16.077436737223774, 0.8159488899178964 
0108, 14.934886570741723, 0.7619706463153185 
0109, 15.468714469705038, 0.7603926273743905 
0110, 15.000775536763006, 0.7604139867201297 
0111, 16.382923630544482, 0.8023954009356027 
0112, 15.313086307845953, 0.7550146934723752 
0113, 13.014843041524074, 0.7305886940683205 
0114, 18.256268922342397, 0.845385024576594 
0115, 19.29078729816152, 0.8440386187586192 
0116, 16.320516286151175, 0.7820339892818843 
0117, 17.073267070004967, 0.8312699670518695 
0118, 14.7201369584723, 0.7478189238437146 
0119, 19.04805514461163, 0.787192229978074 
0120, 24.265886798776464, 0.9142379374219959 
